Mes,Aceites lubricantes,Asfalto ,Bunker C o fuel oil,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Total
2010-01-01 00:00:00,0,576114.2509870498,31051492.40393557,0,0,0,0,29948024.84106835,0,15432718.613875154,29309912.590526257,0,6466279.264049333,0,0,0,0,0,0,80947450.49030909,193731992.4547508
2010-02-01 00:00:00,0,784003.3580716824,27330313.84061098,0,0,0,0,25366449.48278745,445598.72,27464081.8486449,42541307.42726586,0,5478328.589956071,0,0,0,0,0,0,36210539.327509485,165620622.59484643
2010-03-01 00:00:00,0,834815.3444462481,27695681.870480113,0,0,0,0,9687223.056657042,0,14934535.533485867,29992954.97684221,0,3121628.1951229847,0,0,2421109.250086821,0,0,0,86340021.54742621,175027969.7745475
2010-04-01 00:00:00,0,973266.0221649035,44454094.58585561,0,0,0,0,23649221.03846301,0,39735817.55259696,53133198.39464117,0,4104637.078,0,0,2833813.224969984,0,0,0,59138471.97947546,228022519.8761671
2010-05-01 00:00:00,0,554965.9677260182,25740979.30021302,0,0,0,0,14218408.6473069,443132.62999999995,24631101.4638602,40977661.97480375,0,5926308.310954013,0,0,2809928.0613713814,0,0,0,97888827.04121748,213191313.39745277
2010-06-01 00:00:00,0,211696.23705623028,8503664.065420741,0,0,0,0,20258203.313500598,0,23812242.52067789,40773372.46236759,0,5281837.59,0,0,0,0,0,0,49214064.10447858,148055080.29350162
2010-07-01 00:00:00,0,296150.1661357393,28310658.26176305,0,0,0,0,26033636.81602683,419591.34,20516273.57798825,39924976.98581802,0,3835435.9020000007,0,0,2763508.2329142964,0,0,0,62737748.038366675,184837979.32101285
2010-08-01 00:00:00,0,150916.76973164713,15347010.264420189,0,0,0,0,13452974.279279783,0,25171747.351320334,43936937.539542176,0,6094100.626393581,0,0,0,0,0,0,56283029.72403124,160436716.55471897
2010-09-01 00:00:00,0,298052.4055867729,9557769.31332165,0,0,0,0,8462070.98803039,0,17775482.43446874,28312843.85765003,0,1430077.55,0,0,0,0,0,0,68213266.17875603,134049562.72781362
2010-10-01 00:00:00,0,383397.5337729589,26178154.238,0,0,0,0,20301258.744479977,394682.46,35621286.29393125,48744378.21271028,0,4215102.359999999,0,0,0,0,0,0,66656301.605599076,202494561.44849354
