Fecha,Aceites lubricantes,Asfalto,Bunker C o fuel oil,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gas natural,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Solventes,Ceras,Diesel alto azufre,Gas oil de vacío,Orimulsión,Petroleo Crudo (Comb.),Total mensual
2002-01-01 00:00:00,0,12072,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856323.03
2002-02-01 00:00:00,0,25445,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444740.86
2002-03-01 00:00:00,0,8440,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624515.8
2002-04-01 00:00:00,0,6857,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645875.34
2002-05-01 00:00:00,0,3691,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842126.31
2002-06-01 00:00:00,0,1750,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619560.91
2002-07-01 00:00:00,0,3633,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603041.38
2002-08-01 00:00:00,0,7037,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023085.99
2002-09-01 00:00:00,0,8559,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807098.99
2002-10-01 00:00:00,0,7008,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630867.9
2002-11-01 00:00:00,0,13414,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829635.73
2002-12-01 00:00:00,0,11082,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624104.47
2003-01-01 00:00:00,0,23810,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660266.12
2003-02-01 00:00:00,0,19580,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629442.67
2003-03-01 00:00:00,0,17391,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829292.99
2003-04-01 00:00:00,0,12798,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415302.95
2003-05-01 00:00:00,0,29321,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835419.22
2003-06-01 00:00:00,0,27544,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847680.64
2003-07-01 00:00:00,0,7115,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,651773.68
2003-08-01 00:00:00,0,6628,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799549.98
2003-09-01 00:00:00,0,1692,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646815.16
2003-10-01 00:00:00,0,11373,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630843.33
2003-11-01 00:00:00,0,25680,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690519.21
2003-12-01 00:00:00,0,28070,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821058.02
